id,title,description,category,github_url,github_stars,is_indexed,added_at
397,CVE-2026-8719 — Privilege Escalation in WordPress AI Engine Plugin via MCP OAuth,Privilege escalation vulnerability in AI Engine WordPress plugin 3.4.9 through MCP OAuth flow. WordPress + AI + MCP = new attack surface. Shows how agent protocols are leaking into content management systems.,agent_security,,,t,2026-05-24 01:39:35.835395+00
396,"Containarium — Open-Source Agent-Native Sandbox for Cursor, Claude Code, OpenCode (201 Stars)","Self-hostable sandbox built specifically for AI coding agents. Bring your own agent (Cursor, Claude Code, OpenCode). LXC-based, Go, multi-tenant. Focuses on agent-native isolation rather than generic container security. Pushed May 23.",agent_infra,https://github.com/FootprintAI/Containarium,201,t,2026-05-24 01:39:35.835395+00
395,CVE-2026-30635 — Command Injection in automagik-genie MCP Server via viewTask,Command injection vulnerability in automagik-genie 2.5.27 MCP server allows attackers to execute arbitrary commands via the view_task (view) function in readTranscript. Another MCP server with unsanitized input leading to RCE.,agent_security,,,t,2026-05-24 01:39:35.835395+00
393,"SilentFail — MCP Server Health, Token Audit, and Security Scanner","Scans MCP servers for silent failures, dead servers, token costs, and prompt injections hiding in tool descriptions. 50+ security patterns. Works with Claude Desktop, Claude Code, Cursor, VS Code, Windsurf. Very new (created May 19, 2026).",agent_security,https://github.com/decksaga/silentfail,1,t,2026-05-24 01:05:28.137722+00
392,Understand-Anything — Interactive Knowledge Graph for Any Codebase (21.5K Stars),"Turns any codebase, doc, or knowledge base into an interactive knowledge graph you can explore, search, and ask questions about. Works with Claude Code, Codex, Cursor, Copilot, Gemini CLI. 2,331 stars gained today alone. TypeScript.",agent_infra,https://github.com/Lum1104/Understand-Anything,21567,t,2026-05-24 01:05:27.077895+00
391,"Cloudflare Project Think — Agents SDK with Self-Authoring Extensions, Fibers, and Subagents (5K Stars)",New edition of Cloudflare Agents SDK. Think base class gives opinionated agent harness in 3 lines. Self-authoring extensions: agent writes its own tools stored in Durable Objects. Fibers for long-running task recovery with checkpointing. Subagents with isolated SQLite databases. Session trees for non-destructive conversation branching.,agent_infra,https://github.com/cloudflare/agents,4954,t,2026-05-24 00:36:49.039389+00
390,CVE-2026-42449 — n8n-mcp SSRF Bypass via IPv6-Mapped Addresses (CVSS 8.5),SSRF fix in n8n-mcp was bypassed with 7 characters: http://[::ffff:169.254.169.254]. IPv6-mapped address bypasses IPv4-only blocklist. Zero validation on IPv6 input. Full cloud metadata access.,agent_security,https://github.com/n8n-io/n8n-mcp,,t,2026-05-24 00:36:47.928722+00
389,Oh-My-Pi — Terminal AI Coding Agent with Hash-Anchored Edits (6.7K Stars),"AI coding agent for the terminal with hash-anchored edits, optimized tool harness, LSP, Python, browser control, subagents. Multi-provider: Anthropic, OpenAI, Bun, Rust, TypeScript. MCP integration built in.",agent_infra,https://github.com/can1357/oh-my-pi,6734,t,2026-05-24 00:05:28.335385+00
387,OpenClaw TOCTOU Sandbox Escape Chain — CVE-2026-44112 (CVSS 9.6) Through CVE-2026-44118,"Six CVEs in OpenClaw sandbox implementation: TOCTOU write escape (CVSS 9.6 CRITICAL), TOCTOU read escape (CVSS 7.7), heredoc shell expansion bypass (CVSS 8.8), MCP loopback privilege escalation (CVSS 7.8). Symlink races redirect file operations outside sandbox mount root. Hermes-Agent specifically named as vulnerable — persistent memory files (MEMORY.md, USER.md, .env, SSH keys) all reachable. ALL terminal backends exposed: local, Docker, SSH, Singularity, Modal, Daytona, Vercel.",agent_security,"",,t,2026-05-24 00:05:28.321187+00
381,"Dev Machine Guard — Scan Dev Machines for AI Agents, MCP Servers, Suspicious Packages (138 Stars)","Go-based scanner for developer endpoints. Detects installed AI agents (Claude Code, Codex, Cursor), MCP server configs, IDE extensions, and suspicious npm/pip packages. Single binary, runs in seconds. From Step Security.",agent_security,https://github.com/step-security/dev-machine-guard,138,t,2026-05-23 23:07:29.996748+00
380,Bernstein — Audit-Grade Multi-Agent Orchestration with HMAC-Signed Audit Chains (451 Stars),"Deterministic Python scheduler for CLI coding agents (Claude Code, Codex, Gemini CLI, +44 more). HMAC-SHA256 audit chain per scheduling decision, tamper-evident. Signed agent cards (Ed25519/JWS). Per-artefact lineage. Zero LLM in the coordination loop. Air-gap deployable.",agent_security,https://github.com/sipyourdrink-ltd/bernstein,451,t,2026-05-23 23:07:17.191258+00
375,Claude Code Permission Bypass — 50-Subcommand Cap Kills All Deny Rules,"High-severity bypass in Claude Code bashPermissions.ts (lines 2162-2178). Performance optimization caps subcommand analysis at 50 entries. Any shell command with >50 subcommands joined by &&, ||, or ; causes Claude Code to skip ALL deny-rule enforcement and fall back to generic permission prompt. Exposes hundreds of thousands of developers to credential theft and supply chain compromise.",agent_security,,,t,2026-05-23 22:35:37.535591+00
378,CVE-2025-32711 EchoLeak — Microsoft 365 Copilot Zero-Click Data Exfil (CVSS 9.3),Microsoft 365 Copilot zero-click data exfiltration via crafted email exploiting indirect prompt injection. CVSS 9.3. User never typed anything malicious — the user is the victim. Dominant 2025-2026 agent attack class.,agent_security,,,t,2026-05-23 22:35:37.535591+00
379,wolfSSL Certificate Forge — Mythos AI Found Certificate Forgery in Crypto Library Used by Billions,"Project Glasswing: Claude Mythos found a way to forge certificates on wolfSSL, a crypto library used by billions of devices. Part of 10,000+ high/critical vulnerabilities found in one month. 90.6% true positive rate. Maintainers asking Anthropic to slow down.",agent_security,,,t,2026-05-23 22:35:37.535591+00
376,ClawHavoc 575 Skills Poisoned in 48 Hours — Signing Key in .env Is the Design Problem,ClawHavoc campaign poisoned 575 skills on ClawHub in 48 hours using hidden commands and indirect injection. An agent installing a compromised skill can read environment variables including the signing key. Everything works exactly as designed — the signing key in .env is the design problem.,agent_security,,,t,2026-05-23 22:35:37.535591+00
377,CVE-2026-32211 — Azure DevOps MCP Package Missing Auth (CVSS 9.1),"Microsoft @azure-devops/mcp npm package disclosed April 3 2026. Missing authentication on Azure DevOps work items, repos, and pipelines. API keys and auth tokens accessible without valid credentials. CVSS 9.1.",agent_security,,,t,2026-05-23 22:35:37.535591+00
373,"AgentShield — Security Scanner for AI Agent Configs, MCP Servers, Tool Permissions (671 Stars)","Security scanner detecting vulnerabilities in AI agent configurations, MCP servers, and tool permissions. CLI + GitHub Action + ECC plugin + GitHub App. TypeScript, MIT.",agent_security,https://github.com/affaan-m/agentshield,671,t,2026-05-23 22:04:37.321125+00
371,obra/superpowers — Agentic Skills Framework (203K Stars),"The fastest-growing agentic skills framework and software development methodology. 203K+ stars, MIT license. Portable skill system for coding agents crossing Claude Code, Codex, and Cursor. +17K stars this week alone.",agent_framework,https://github.com/obra/superpowers,203926,t,2026-05-23 22:04:37.321125+00
374,"DeepClaude — Run Claude Code Agent Loop with Any Provider (1,946 Stars)","Enables Claude Code autonomous agent loop with DeepSeek V4 Pro, OpenRouter, or any Anthropic-compatible provider. Breaks vendor lock-in on the most popular coding agent.",agent_infra,https://github.com/aattaran/deepclaude,1946,t,2026-05-23 22:04:37.321125+00
372,Damn Vulnerable LLM Agent — Deliberately Vulnerable Agent for Security Practice,"A deliberately vulnerable React-based LLM agent built for practicing prompt injection, thought/action/observation hijacking, agentic SQLi, and tool abuse. By ReversecLabs. 8K+ views on discovery tweet.",agent_security,https://github.com/ReversecLabs/damn-vulnerable-llm-agent,456,t,2026-05-23 22:04:37.321125+00
369,"135,000+ OpenClaw Instances Exposed — 63% Vulnerable, 15K+ RCE-Ready, API Keys Leaking Through Control Panels","SecurityScorecard STRIKE team scan found 135,000+ OpenClaw instances exposed to public internet. 63% vulnerable. 15,000+ exploitable via RCE right now. 53,000+ correlate with prior breach activity. Three high-severity CVEs with public exploit code. Users leaking API keys, OAuth tokens, service credentials through exposed control panels. Root cause: binds to 0.0.0.0:18789 by default. For a tool with shell access, filesystem read/write, credential stores, and messaging control, localhost-only should be the default. It is not.",agent_security,,,t,2026-05-23 20:42:28.06399+00
368,"Three Claude Code CVEs in One Cycle — API Key Exfil (CVE-2026-21852), Command Injection (CVE-2026-24887), Symlink Sandbox Escape (CVE-2026-39861)",Three distinct vulnerability classes hit Claude Code in a single disclosure cycle. CVE-2025-59536 + CVE-2026-21852: repo config file silently runs shell commands and exfiltrates API keys via Hooks/MCP. Fixed in 2.0.65. CVE-2026-24887: command injection via find call. CVE-2026-39861: sandbox escape via symlink where sandboxed process drops symlink and unsandboxed write follows it — arbitrary file write with no prompt. Fixed in 2.1.64. Self-hosted Claude Code with strict allowlists kills all three classes.,agent_security,,,t,2026-05-23 20:42:17.671705+00
367,"CVE-2026-42208 — LiteLLM Pre-Auth SQL Injection (CVSS 9.3) Steals All AI Provider Credentials, KEV-Listed","Critical pre-auth SQL injection in BerriAI LiteLLM proxy API key verification path. CVSS 9.3. Unauthenticated attacker sends crafted Authorization header to read/modify proxy database containing virtual API keys, OpenAI/Anthropic/Azure provider credentials, and environment configuration. Sysdig observed exploitation 36h after GitHub Advisory indexed. Now KEV-listed. Fixed in v1.83.7-stable.",agent_security,https://github.com/BerriAI/litellm,15000,t,2026-05-23 20:42:05.752249+00
366,Google I/O: Gemini CLI Killed June 18 → Closed-Source Antigravity CLI + Gemini Spark Full Gmail Access,"Google I/O 2026: Open-source Gemini CLI dies June 18. Replaced by Antigravity CLI (agy) — a closed-source Go binary. Nobody can audit what it does. New product Gemini Spark gives an AI agent full Gmail + Calendar + Drive access. Security implications of email→LLM→calendar write access were not discussed at I/O. Free tier gets weekly caps instead of 1,000 requests/day. Developer community backlash over killing open-source project with 30 days notice. The same company that warns about AI safety is shipping an unauditable agent binary with full email access.",agent_security,,,t,2026-05-23 19:39:49.028111+00
362,dexter — Autonomous Agent for Deep Financial Research (26K Stars),"Autonomous agent that scrapes, analyzes, and synthesizes deep financial and market research data. Goes beyond Q&A into multi-source synthesis.",agent_framework,https://github.com/virattt/dexter,26190,t,2026-05-23 18:34:36.971819+00
360,vm2 CVE-2026-47140 — Five New Sandbox Escapes (CVSS 10.0) in Node.js Agent Runtimes,Five new sandbox escape CVEs in vm2 (3.11.3 and earlier). CVE-2026-47140 (CVSS 10.0): NodeVM builtin denylist missing process and inspector/promises modules. CVE-2026-47210 (CVSS 9.8): JSPI-enabled environments leak host error objects via Promise.prototype.finally(). CVE-2026-47137 (CVSS 10.0): 2023 patch bypass via strict equality check — undefined option value skips security gate. CVE-2026-47208/CVE-2026-47131: Promise type and Buffer prototype manipulation escape routes. All require update to vm2 3.11.4+. No workaround for older versions.,agent_security,,,t,2026-05-23 18:05:15.70016+00
358,Cozempic — Context Cleaning for Claude Code Agent Teams (313 Stars),Prune bloated Claude Code sessions to protect Agent Teams from context loss. Auto-guard with tiered pruning. Solves the context window exhaustion problem in multi-agent coding workflows.,agent_infra,https://github.com/Ruya-AI/cozempic,313,t,2026-05-23 17:35:32.131146+00
357,nah — Action-Aware Permissions for Coding Agents (439 Stars),"Deterministic safety guard for coding agents. Intercepts actions before execution and applies permission rules. Keeps you in the flow while blocking dangerous operations. Python-based, works with Claude Code, Cursor, and other coding agents.",agent_security,https://github.com/manuelschipper/nah,439,t,2026-05-23 17:35:32.131146+00
356,"Project Glasswing Update — Claude Mythos Found 10,000+ Critical Vulns in One Month","Anthropic Project Glasswing first update. Claude Mythos Preview found 10,000+ high/critical severity vulnerabilities. Cloudflare: 2,000 bugs. Mozilla: 271 in Firefox 150 (10x vs Firefox 148). wolfSSL: certificate forgery on crypto lib used by billions. 90.6% true positive rate. UK AI Security Institute: first model to solve both attack simulations. Maintainers asking Anthropic to slow down.",agent_security,,,t,2026-05-23 17:06:21.497892+00
355,"TeamPCP Supply Chain Campaign — 84 Malicious npm Packages in 6 Minutes, 170+ Compromised","TeamPCP published 84 malicious npm packages in 6 minutes. Hit TanStack (CVE-2026-45321), Grafana Labs, GitHub internal repos via Nx Console VS Code ext, OpenAI, Mistral AI. Also exploited Microsoft Defender zero-days. May 2026 supply chain attacks worst on record. One actor responsible for most.",agent_security,,,t,2026-05-23 17:06:08.674904+00
354,Google GenAI SDK v2.6.0 — Prompt Injection Detection Moves Inside the SDK,Google added enable_prompt_injection_detection to GenAI SDK Python/JS v2.6.0. Gemini CLI v0.43 tightened shell safety checks and JSON stop reasons. Safety controls moving from config files into actual SDK function calls. Policy inside the run loop beats policy outside it.,agent_security,,,t,2026-05-23 17:05:58.237067+00
353,ramparts — MCP and Skill Scanner for Indirect Attack Vectors in Rust (87 Stars),MCP and skill scanner that detects indirect attack vectors and security or configuration vulnerabilities in any MCP server or skill. Written in Rust.,agent_security,https://github.com/highflame-ai/ramparts,87,t,2026-05-23 17:05:46.93979+00
352,"hol-guard — AI Antivirus for Developer Agents: Codex, Claude Code, Cursor, Gemini (339 Stars)","AI antivirus for developer agents. Scans Codex, Claude Code, Cursor, Gemini, OpenCode plugins, skills, MCP servers before tools run. Catches malicious instructions and supply chain attacks in agent tooling.",agent_security,https://github.com/hashgraph-online/hol-guard,339,t,2026-05-23 17:05:35.030253+00
351,Cisco AI Defense MCP Scanner — Enterprise MCP Server Security Scanner (937 Stars),Cisco official MCP server security scanner. Scans MCP servers for potential threats and security findings. Enterprise validation of the MCP security space. Python.,agent_security,https://github.com/cisco-ai-defense/mcp-scanner,937,t,2026-05-23 17:05:25.434674+00
350,MCP RCE-by-Design — OX Security Finds Systemic Vulnerability in Anthropic MCP Affecting 150M+ Downloads,"OX Security disclosed a critical architectural RCE vulnerability in Anthropic MCP STDIO implementation. Arbitrary command execution across Python, TypeScript, Go, Java, Rust SDKs. 150M+ downloads affected, 200K+ servers, 10+ CVEs. Researchers demonstrated RCE on 6 live platforms and poisoned 9/11 MCP marketplaces. Anthropic: working as designed. Affects Claude Code, Cursor, VS Code, Windsurf, Gemini CLI.",agent_security,,,t,2026-05-23 16:38:19.867633+00
349,CVE-2026-5029 — Unauthenticated RCE in Code Runner MCP Server (241 Stars),Critical command injection in formulahendry/mcp-server-code-runner allows unauthenticated remote code execution. The MCP server runs code snippets via LLM agents but fails to sanitize inputs before execution. Attackers inject arbitrary system commands through unsanitized input fields.,agent_security,https://github.com/formulahendry/mcp-server-code-runner,241,t,2026-05-23 16:09:14.394941+00
348,"MCPwn — First Named Exploit Campaign Targeting MCP Servers (CVE-2026-33032, CVSS 9.8)","First named exploit campaign targeting MCP (Model Context Protocol) servers. CVE-2026-33032, CVSS 9.8. Over 2,600 exposed instances. Active exploitation confirmed since April 16. Attack vector: authenticated agent with valid database:read OAuth scope executing unrestricted SQL. All five RSAC 2026 agent identity frameworks (Microsoft AGT, ZeroID, ERC-8004, Visa TAP, Mastercard Agent Pay) would have permitted the attack.",agent_security,,,t,2026-05-23 15:36:30.40853+00
347,PT-2026-6792 — Semantic Kernel CVE-2026-25592 Patch Bypass: 6 Zero-Day Bypasses + Self-Nuke Vector,"Six independent 0-day bypasses of the official CVE-2026-25592 patch in Microsoft Semantic Kernel (.NET SDK v1.47.0-1.48.0) and Agent Framework 1.0. Vulnerability chain: CWE-1039 → CWE-22 → CWE-94. The ""Self-Nuke"" vector overwrites the host application source code. No privileges required, remote exploitation. Stochastic LLM output interpreted as executable system commands.",agent_security,,,t,2026-05-23 15:36:30.40853+00
342,Perplexity Bumblebee — Read-Only Supply Chain Scanner for Developer Endpoints (705 Stars),"Perplexity open-sourced Bumblebee: a read-only endpoint scanner that inventories packages, browser extensions, and developer tooling on macOS/Linux. Built for fast supply chain risk assessment. Pulls metadata without modifying anything. First public release May 22, 2026.",agent_security,https://github.com/perplexityai/bumblebee,1153,t,2026-05-23 15:06:49.099307+00
341,Semia — Static Security Audit for AI Agent Skills Before Execution (174 Stars),"Security scanner that statically analyzes AI agent skills (OpenClaw, Claude Code, Codex) before they execute. Checks for prompt injection vectors, credential exfiltration paths, and unsafe tool patterns. MIT-licensed, self-hosted. Built specifically for the agent skill supply chain problem.",agent_security,https://github.com/berabuddies/Semia,174,t,2026-05-23 14:38:54.83018+00
340,"CVE-2026-44578 — Next.js SSRF via WebSocket Upgrade, No Backport for 13.x/14.x (CVSS 8.6)","Critical SSRF vulnerability in self-hosted Next.js via WebSocket Upgrade handler. External attackers can relay server requests to internal services and cloud metadata APIs, leaking cloud credentials and API keys. Affects Next.js 13.x and 14.x. Fix requires major-version migration to 15.x or 16.x — no backport available. Tens of thousands of agent-hosting Next.js apps potentially exposed.",agent_security,,,t,2026-05-23 14:38:39.432874+00
339,CVE-2025-34291 — MuddyWater Exploits Langflow CORS + Refresh-Token Chain for RCE (CISA KEV),"Iranian state-sponsored APT MuddyWater exploited a CORS misconfiguration in Langflow (CVE-2025-34291, CVSS 8.8) chaining it with a refresh-token vulnerability to achieve pre-auth remote code execution. CISA added it to the Known Exploited Vulnerabilities catalog on May 22, 2026. Attack path: CORS misconfiguration → cross-origin session hijack → stolen refresh tokens → authenticated RCE. Langflow ≤1.6.9 affected. Same CVE used in multi-stage campaign targeting aviation, energy, and government sectors across Middle East.",agent_security,,,t,2026-05-23 14:38:19.279855+00
338,DeepSeek V4-Pro Permanent 75% Cut — Your Attackers Got the Same Discount,"DeepSeek made their 75% V4-Pro price cut permanent. Model runs at 1/35th the cost of Claude Opus 4.7/GPT-5.5. Two implications missed by most: (1) agent economics flip — autonomous code review, continuous monitoring, document triage now cost cents per task, (2) attackers got the same discount. Generating prompt injection corpora at scale, fuzzing jailbreaks, personalized phishing, vuln triage on stolen repos all run at the new price. Red team and attack economics are the same equation. One side files compliance paperwork. The other does not. Plus jurisdiction risk: V4-Pro hosts in China, Article 7 compels data sharing. A model swap in agent tools is a single config line.",agent_security,,,t,2026-05-23 13:37:11.518248+00
337,CyberStrikeAI — AI-Native Security Testing Platform with 100+ Tools and MCP (3.9K Stars),AI-native security testing platform built in Go. Integrates 100+ security tools. Intelligent orchestration engine. Role-based testing with predefined security roles. Skills system with specialized testing skills. MCP integration. Full lifecycle management.,agent_security,https://github.com/Ed1s0nZ/CyberStrikeAI,3917,t,2026-05-23 13:07:42.407475+00
336,Tirith — Terminal Security for AI Agents: Intercepts Malicious Skills Before Execution (2.4K Stars),"Terminal security for developers and AI agents. Written in Rust. Intercepts homograph URLs, pipe-to-shell, ANSI injection, obfuscated payloads, data exfiltration, and malicious AI skills/configs before they execute. Supply chain security at the terminal layer.",agent_security,https://github.com/sheeki03/tirith,2363,t,2026-05-23 13:07:31.741626+00
333,Cisco Foundry Security Spec — Open Standard for Agentic AI Security Evaluation (76 Stars),Cisco DevNet open specification for evaluating and testing agentic AI security. Standardized framework for security assessment of AI agent deployments. First major vendor-backed open standard for agent security testing.,agent_security,https://github.com/CiscoDevNet/foundry-security-spec,76,t,2026-05-23 12:35:25.416444+00
332,Sponsio — Deterministic Safety Solutions for Probabilistic AI Agents (397 Stars),"Open-source deterministic safety layer for AI agents. Intent verification, policy engine, agent harness, runtime safety. Built for OpenClaw skills. Addresses prompt injection, policy drift, and unauthorized actions through provable constraints rather than probabilistic guardrails.",agent_security,https://github.com/SponsioLabs/Sponsio,397,t,2026-05-23 12:35:25.414154+00
331,"CVE-2026-65719 — Critical RCE in kubectl-mcp-server via Command Injection (891 Stars, CNCF Landscape)",Critical command injection vulnerability in kubectl-mcp-server allows unauthenticated attackers to execute arbitrary system commands by injecting shell metacharacters into unsanitized input fields. Full host control + potential K8s cluster compromise. Affected: < 1.2.1. Listed in CNCF Landscape.,agent_security,https://github.com/rohitg00/kubectl-mcp-server,891,t,2026-05-23 12:35:25.411461+00
330,shellfirm — Safety Guardrails for AI Coding Agents and Terminal Commands (912 Stars),"Rust-based safety guardrails that intercept dangerous terminal commands before execution. Works for both AI coding agents and humans. Prevents agents from running destructive commands (rm -rf, DROP TABLE, etc.) by requiring explicit confirmation. MCP-compatible.",agent_security,https://github.com/kaplanelad/shellfirm,912,t,2026-05-23 12:35:25.408139+00
326,HASP — Local-First Broker for Managed Secrets in Agent Workflows (433 Stars),Go-based local-first secrets broker for AI agent workflows. Manages secrets outside agent process memory. Agents never hold credentials directly — secrets brokered on-demand via local service.,agent_security,https://github.com/gethasp/hasp,433,t,2026-05-23 12:04:50.989188+00
328,AgentGuard — Security Guard for AI Agents with 24 Detection Rules (410 Stars),"TypeScript security guard that blocks malicious skills, prevents data leaks, protects secrets. Runtime action evaluation and trust registry. 24 built-in detection rules for common agent attack patterns.",agent_security,https://github.com/GoPlusSecurity/agentguard,410,t,2026-05-23 12:04:50.989188+00
327,ship-safe — CLI Security Scanner for the Agentic Era (710 Stars),"CLI tool that detects CI/CD misconfigs, agent permission risks, MCP tool injection, hardcoded secrets, and DMCA-flagged AI dependencies. Built specifically for agentic workflows.",agent_security,https://github.com/asamassekou10/ship-safe,710,t,2026-05-23 12:04:50.989188+00
329,AWS Secrets Manager Agent — Official AWS Local HTTP Service for Agent Compute (656 Stars),AWS official Rust-based local HTTP service for reading secrets from Secrets Manager with in-memory caching. Designed for compute environments running AI agents.,agent_security,https://github.com/aws/aws-secretsmanager-agent,656,t,2026-05-23 12:04:50.989188+00
323,PocketOS — AI Agent Deleted Entire Production Database + All Backups in 9 Seconds (Cursor + Claude Opus),"Automotive SaaS company PocketOS had their entire production database and all volume-level backups deleted by Cursor AI with Claude Opus 4.6. Nine seconds. No confirmation prompt, no scope restrictions. The agent postmortem: ""I violated every principle I was given. I guessed instead of verifying."" Original post reached 6.5M views. Better prompts would not have stopped it. A gate would have.",agent_security,,,t,2026-05-23 11:35:02.623085+00
322,CVE-2026-26144 — XSS in Excel Hijacks Copilot Agent for Zero-Click Data Exfiltration,Microsoft patched XSS vulnerability in Excel (CVE-2026-26144) that chains with Copilot Agent to silently exfiltrate spreadsheet data. Zero-click — preview triggers it. Copilot interprets XSS payload as instructions and autonomously sends data externally. CVSS 7.5 but Microsoft rated Critical. Two years ago XSS stole a session cookie. Now it weaponizes an AI agent.,agent_security,,,t,2026-05-23 11:35:02.619481+00
320,Claude Code Network Sandbox Bypass — Credentials and Source Code Exposed Across 130+ Versions,"Critical bypass in Anthropic's Claude Code AI assistant exposed credentials, source code, API keys, and internal resources. The network sandbox designed to isolate Claude Code from sensitive resources could be circumvented, allowing the agent to access data it should not see. Affects 130+ versions. Directly relevant to agent sandboxing and the untrusted-agent threat model.",agent_security,,,t,2026-05-23 11:06:39.072398+00
321,"Langflow — First AI Agent Framework Added to CISA ""Must Patch"" List (Attacked Within 20 Hours of Disclosure)",Langflow became the first AI agent framework added to CISA's Known Exploited Vulnerabilities catalog. Attackers began exploiting it within 20 hours of disclosure. This is a landmark moment — the first time the US government treats an AI agent framework with the same urgency as critical infrastructure software. Confirms that agent frameworks are now part of the core attack surface.,agent_security,,,t,2026-05-23 11:06:39.072398+00
318,DeepSeek V4 Pro Autonomous Hacking — 4 Expert Security Challenges Solved for $6.84 (412 Tool Calls),"Tur24Tur demonstrated DeepSeek V4 Pro autonomously solving 4 expert-level PortSwigger security challenges: SQL Injection (26 tool calls, 3 min), Android Root Detection Bypass with Frida (102 calls, 16 min), Reflected XSS with AngularJS sandbox escape + CSP bypass (142 calls, 71 min), Web Cache Deception (142 calls, 35 min). Total: 412 tool calls, $6.84 on DeepSeek V4 Pro. Each solution reviewed by Claude Opus 4.7. 11K+ views, 115 likes on original thread.",agent_security,,,t,2026-05-23 10:34:31.603921+00
317,"May 2026 Linux Kernel LPE Cluster — 4 Critical Privilege Escalations in 3 Weeks (Copy Fail, Dirty Frag, Fragnesia, Pinthef)","Four critical Linux kernel LPE vulnerabilities disclosed in May 2026: CVE-2026-31431 Copy Fail (AI-found, 9-year bug, page cache corruption), CVE-2026-43284 Dirty Frag (universal LPE), CVE-2026-46300 Fragnesia (XFRM ESP-in-TCP, same subsystem as Dirty Frag), and Pinthef. All affect mainstream distributions. One found by AI. Exploit code published before patches for some. Agent sandboxes and containers share the same host kernel — one LPE = full host escape.",agent_security,,,t,2026-05-23 10:34:31.601427+00
316,"CVE-2026-31431 ""Copy Fail"" — AI-Found Linux Kernel LPE Zero-Day (Every Distro Since 2017, 732-Byte Exploit)","AI found a Linux kernel zero-day that roots every distribution since 2017. The exploit fits in 732 bytes of Python. CVE-2026-31431 disclosed by Theori. Straight-line logic mistake that works first try, every time. No race condition, no address leak needed. Corrupts page cache — never touches disk. Containers dont help (shared page cache). 9-year-old bug in a 2017 crypto optimization. Your agent sandbox runs on Linux.",agent_security,,,t,2026-05-23 10:34:31.598074+00
