id,title,category,github_stars,url,github_url,description,added_at
66,MemOS,agent-memory,9260,https://github.com/MemTensor/MemOS,,"Self-evolving memory OS for LLM and AI agents. Ultra-persistent memory, hybrid-retrieval (keyword + vector + graph), and cross-task skill reuse. Claims 35.24% token savings through intelligent memory compression and retrieval.",2026-05-21 11:36:13.447747+00
67,engram,agent-infrastructure,3681,https://github.com/Gentleman-Programming/engram,,"Persistent memory system for AI coding agents. Agent-agnostic Go binary with SQLite + FTS5, MCP server, HTTP API, CLI, and TUI. No external dependencies — runs as a single binary.",2026-05-21 11:36:13.447747+00
68,osaurus,agent-infrastructure,5477,https://github.com/osaurus-ai/osaurus,,"Native macOS harness for AI agents. Any model, persistent memory, autonomous execution, cryptographic identity. Built in Swift. Fully offline. Open source. MCP compatible.",2026-05-21 11:36:13.447747+00
69,ECC,agent-infrastructure,188000,https://github.com/affaan-m/ECC,,"Agent harness performance optimization system. Skills, instincts, memory, security, and research-first development for Claude Code, Codex, Opencode, Cursor and beyond.",2026-05-21 12:05:18.062538+00
70,OpenViking,agent-infrastructure,24380,https://github.com/volcengine/OpenViking,,"Open-source context database designed specifically for AI Agents. Unifies management of context (memory, resources, skills) through a file system paradigm with hierarchical context delivery and self-evolving.",2026-05-21 12:05:18.066356+00
71,memvid,agent-memory,15542,https://github.com/memvid/memvid,,"Memory layer for AI Agents. Replaces complex RAG pipelines with a serverless, single-file memory layer. Gives agents instant retrieval and long-term memory. Built in Rust.",2026-05-21 12:05:18.069836+00
72,code-review-graph,agent-infrastructure,17071,https://github.com/tirth8205/code-review-graph,,Local knowledge graph for Claude Code. Builds a persistent map of your codebase so Claude reads only what matters — 6.8x fewer tokens on reviews and up to 49x on daily coding tasks. 19+ languages. Runs fully local. No API keys.,2026-05-21 13:05:20.180475+00
73,Mirage,agent-infrastructure,2526,https://github.com/strukto-ai/mirage,,"A unified virtual filesystem for AI agents. Gives every agent a consistent file interface regardless of backend. Works with Claude Code, LangChain, OpenAI agents. TypeScript + Python.",2026-05-21 13:05:20.184674+00
74,smallcode,agents-frameworks,1216,https://github.com/Doorman11991/smallcode,https://github.com/Doorman11991/smallcode,AI coding agent optimized for small LLMs. Hits 87% benchmark score with only a 4B-active parameter model. Proves you dont need massive models for real coding tasks.,2026-05-21 13:05:20.187582+00
75,ARGO,agents-frameworks,662,https://github.com/xark-argo/argo,,"Open-source local AI agent platform. Manus-style autonomous task execution running 100% on your laptop. No cloud, no subscription. Multi-agent task engine with planning, reflection, tool chaining. Ollama + HuggingFace + OpenAI/Claude/DeepSeek. Full MCP support. Local RAG.",2026-05-21 13:05:20.190293+00
76,mcp2cli,agent-infrastructure,2147,https://github.com/knowsuchagency/mcp2cli,,"Turn any MCP, OpenAPI, or GraphQL server into a CLI — at runtime, with zero codegen. Every MCP server loads ALL tool definitions on EVERY turn. mcp2cli converts them to simple commands the agent calls only when needed. Saves thousands of tokens per turn.",2026-05-21 13:05:20.193071+00
77,Dulus,agents-frameworks,625,https://github.com/KevRojo/Dulus,,"Free CLI agent that harvests Gemini (guest, no login), Claude.ai, Kimi, Qwen, DeepSeek browser sessions and turns them into tool-calling agents. Reads and edits files, runs Bash, greps repos, browses the web, ships commits. All from terminal at $0.",2026-05-21 13:05:20.195655+00
78,Zerolang,agent-infrastructure,4120,https://github.com/vercel-labs/zerolang,,"Agent-first programming language by Vercel Labs. Small regular syntax agents learn on the fly. Structured diagnostics, deterministic tooling, deep stdlib. Written in C, Apache-2.0.",2026-05-21 13:34:37.242863+00
79,Photo-agents,agents-frameworks,1022,https://github.com/jmerelnyc/Photo-agents,,"Autonomous self-evolving agents with vision-grounded layered memory. Perceive/reason/act loop. Agents write own skills from real success. Multi-provider LLM router, browser automation, sandboxed code exec. Python.",2026-05-21 13:34:37.246145+00
80,OpenSquilla,agents-frameworks,1278,https://github.com/opensquilla/opensquilla,,"Token-efficient microkernel AI agent. Local model router sends each turn to cheapest capable model. Persistent memory, layered sandbox, web search, on-device embeddings. 20+ LLM providers. Python.",2026-05-21 13:34:37.248444+00
81,OctoTools,agents-frameworks,1462,https://github.com/octotools/octotools,,"Agentic framework with extensible tool cards for complex reasoning. Planner+executor loop, standardized tool metadata. Broad LLM support. Python, MIT.",2026-05-21 13:34:37.250707+00
82,EverOS,agent-infrastructure,5398,https://github.com/EverMind-AI/EverOS,,"Build, evaluate, and integrate long-term memory for self-evolving agents. Python, Apache-2.0.",2026-05-21 14:03:24.56533+00
83,SimpleMem,agent-infrastructure,3328,https://github.com/aiming-lab/SimpleMem,,"Efficient lifelong memory for LLM agents — text and multimodal. Python, MIT.",2026-05-21 14:03:24.568941+00
84,moltis,agents-frameworks,2698,https://github.com/moltis-org/moltis,,"Secure persistent personal agent server in Rust. One binary, sandboxed execution, multi-provider LLMs, voice, memory, messaging integrations. Runs on your hardware.",2026-05-21 14:03:24.571372+00
85,oh-my-claudecode,agents-frameworks,34487,https://github.com/Yeachan-Heo/oh-my-claudecode,,"Teams-first multi-agent orchestration for Claude Code. Parallel execution, agent specialization.",2026-05-21 14:03:24.573614+00
86,TradingAgents,agents-frameworks,78109,https://github.com/TauricResearch/TradingAgents,,"Multi-agent LLM financial trading framework. Research Desk, Quant Team, Trading Floor, and Risk Management as separate agents orchestrated together. Python.",2026-05-21 14:34:40.020832+00
87,zeroclaw,agent-infrastructure,31500,https://github.com/zeroclaw-labs/zeroclaw,,"Fast, small, fully autonomous AI personal assistant infrastructure. Rust-based. Deploy anywhere, any OS, any platform. Modular swap-anything architecture.",2026-05-21 14:34:40.024707+00
88,MCP Toolbox for Databases,mcp,15296,https://github.com/googleapis/mcp-toolbox,,"Open-source MCP server by Google for databases. Supports PostgreSQL, MySQL, BigQuery, Spanner, MongoDB, Redis, Elasticsearch, ClickHouse, CockroachDB, Oracle, TiDB, Firestore, and more. Go.",2026-05-21 14:34:40.027317+00
89,omo (oh-my-openagent),agents-frameworks,58880,https://github.com/code-yeongyu/oh-my-openagent,,"The best agent harness. Previously oh-my-opencode. 58.8K stars. Supports Claude Code, Codex, Cursor, Gemini CLI, OpenCode. Modular skills, orchestration, agent loop — all in one harness.",2026-05-21 15:33:56.608799+00
90,agent-lightning,agents-frameworks,17201,https://github.com/microsoft/agent-lightning,,"Microsoft open-source RL trainer for AI agents. Works with LangChain, AutoGen, CrewAI, OpenAI SDK, or plain Python. Captures prompts, tool calls, rewards as structured events. Trains improved prompts or policy weights automatically.",2026-05-21 15:33:56.612577+00
91,html-anything,agent-tools,4443,https://github.com/nexu-io/html-anything,,"Agentic HTML editor — your local AI agent writes the HTML, you ship it. 75 skills × 9 surfaces (magazine, deck, poster, XHS/tweet, prototype, data report, Hyperframes). Sandboxed preview, 1-click publish to WeChat/X/Zhihu. Zero API key required.",2026-05-21 15:33:56.614996+00
92,AiSOC,agent-security,1100,https://github.com/beenuar/AiSOC,,"Open-source AI-powered Security Operations Center. Alert fusion, purple-team drills, agent-assisted triage, MITRE ATT&CK investigation. MIT-licensed, self-hostable. Python + Next.js.",2026-05-21 15:33:56.617356+00
93,holaOS,agent-infrastructure,5649,https://github.com/holaboss-ai/holaOS,,"Agent OS that turns repeat work into running AI work-streams. Electron-based, MCP-compatible, with persistent memory and proactive AI runtime. TypeScript.",2026-05-21 16:04:45.637314+00
94,agent-governance-toolkit,agent-security,1793,https://github.com/microsoft/agent-governance-toolkit,https://github.com/microsoft/agent-governance-toolkit,"Microsoft AI Agent Governance Toolkit. Policy enforcement, zero-trust identity, execution sandboxing, reliability engineering for autonomous agents. Covers 10/10 OWASP Agentic Top 10. Python, MIT.",2026-05-21 16:04:45.637314+00
95,TEN Framework,agents-frameworks,10598,https://github.com/TEN-framework/ten-framework,,"Open-source framework for conversational voice AI agents. Multi-modal, real-time voice + video. Python.",2026-05-21 16:04:45.637314+00
96,nexent,agents-frameworks,4609,https://github.com/ModelEngine-Group/nexent,,"Zero-code platform for auto-generating production-grade AI agents using Harness Engineering principles. Unified tools, skills, memory, orchestration with constraints, feedback loops, control planes. Python, MIT.",2026-05-21 16:04:45.637314+00
97,boxlite,agent-infrastructure,2078,https://github.com/boxlite-ai/boxlite,,"Compute substrate for AI agents: lightweight on laptop, elastic to cloud. Rust + TypeScript, Apache 2.0. Embedded, self-hosted, serverless.",2026-05-21 16:04:45.637314+00
98,mcpc,mcp,641,https://github.com/apify/mcpc,,"Universal CLI client for MCP by Apify. Persistent sessions, stdio/HTTP, OAuth 2.1, tasks, JSON output, proxy for AI sandboxes, x402 support.",2026-05-21 16:04:45.637314+00
99,agent-safehouse,agent-security,1787,https://github.com/eugene1g/agent-safehouse,,"Sandbox your local AI agents so they can read/write only what they need. Shell-based, minimal.",2026-05-21 16:04:45.637314+00
100,Hive (aden-hive),agents-frameworks,10397,https://github.com/aden-hive/hive,,"Multi-Agent Harness for Production AI. Python framework with self-improving agents, human-in-the-loop, agent skills, supports OpenAI and Anthropic.",2026-05-21 16:35:33.10045+00
101,Motus (lithos-ai),agent-infrastructure,455,https://github.com/lithos-ai/motus,,"Open-source agent-serving project. From the team behind Motus Tracing (356 likes, 27K views on Twitter). Agent observability infrastructure.",2026-05-21 16:35:33.10358+00
102,audit (evilsocket),agent-security,430,https://github.com/evilsocket/audit,,"An 8-stage vulnerability-discovery agent built on the Claude Code Agent SDK. Reimplements Cloudflare's Project Glasswing pipeline: many narrow agents, deliberate disagreement, and reachability tracing.",2026-05-21 17:03:55.894675+00
104,Agent Executor (AX),agent-infrastructure,208,https://github.com/google/ax,,"Google open source distributed agent runtime. General purpose runtime for dynamic scheduling, resumption, auto recovery, auditing, and trajectory branching from kernel snapshots in agentic workloads. Written in Go. Announced at Google I/O 2026 by @rakyll.",2026-05-21 17:38:05.495622+00
105,"IronClaw — Agent OS Focused on Privacy, Security and Extensibility (12.3K Stars)",agent-security,12324,https://github.com/nearai/ironclaw,,"Agent OS focused on privacy, security and extensibility. Written in Rust with WASM sandboxing and encrypted credential vault where the LLM never sees your API keys.",2026-05-21 17:38:18.070118+00
106,AI-Infra-Guard — Full-Stack AI Red Teaming Platform by Tencent (3.8K Stars),agent-security,3761,https://github.com/Tencent/AI-Infra-Guard,,"A full-stack AI Red Teaming platform securing AI ecosystems via OpenClaw Security Scan, Agent Scan, Skills Scan, MCP scan, AI Infra scan and LLM jailbreak evaluation.",2026-05-21 18:05:47.967356+00
107,supply-chain-guard (pc-style),agent-security,20,https://github.com/pc-style/supply-chain-guard,,"Local supply-chain install gate for npm packages and VS Code extensions with Socket, Codex integration.",2026-05-21 18:06:03.856781+00
108,Studio (decocms),agent-infrastructure,373,https://github.com/decocms/studio,,"Open-source control plane for your AI agents. Connect tools, hire agents, track every token and dollar.",2026-05-21 18:06:13.713801+00
109,claude-in-box (jiangmuran),agent-infrastructure,24,https://github.com/jiangmuran/claude-in-box,,"Portable Claude Code dev environment in a Docker container. Multi-session, hook-driven, with persistent workspace.",2026-05-21 18:06:22.802119+00
114,CC-Switch (farion1231),agent-infrastructure,77267,https://github.com/farion1231/cc-switch,,"Cross-platform desktop All-in-One assistant for Claude Code, Codex, OpenCode, OpenClaw, Gemini CLI and Hermes Agent. Desktop UI that unifies all coding agents.",2026-05-21 18:34:43.469326+00
115,Antigravity Awesome Skills (sickn33),agents-frameworks,38274,https://github.com/sickn33/antigravity-awesome-skills,,"Installable GitHub library of 1,400+ agentic skills for Claude Code, Cursor, Codex CLI, Gemini CLI, and more. Includes installer CLI, bundles, workflows, and official/community skill collections.",2026-05-21 18:35:50.037462+00
116,Multica (multica-ai),agents-frameworks,30587,https://github.com/multica-ai/multica,,"Open-source managed agents platform. Turn coding agents into real teammates — assign tasks, track progress, compound skills. Persistent agent management.",2026-05-21 18:35:50.040956+00
117,NSA MCP Security Design Considerations,agent_security,,https://www.nsa.gov/Portals/75/documents/Cybersecurity/CSI_MCP_SECURITY.pdf,,"NSA Cybersecurity published official security design considerations for AI-driven automation using the Model Context Protocol. Warns that MCP creates implicit trust boundaries allowing agents to bypass traditional security perimeters via dynamic tool execution. Covers input validation, auth, access control, monitoring for MCP deployments.",2026-05-21 19:36:25.158373+00
118,HexStrike AI - 150+ Cybersecurity Tools for AI Agents via MCP,agent_security,8867,https://github.com/0x4m4/hexstrike-ai,,"MCP server that lets AI agents (Claude, GPT, Copilot) autonomously run 150+ cybersecurity tools for automated pentesting, vulnerability discovery, bug bounty automation, and security research. Python, MIT license. Bridges LLMs with real-world offensive security capabilities.",2026-05-21 19:36:49.249619+00
119,Claude Code System Prompts - Full Transparency,agent_infra,10386,https://github.com/Piebald-AI/claude-code-system-prompts,,"All parts of Claude Code system prompt extracted and documented. 27 builtin tool descriptions, sub-agent prompts (Plan/Explore/Task), utility prompts (CLAUDE.md, compact, statusline, WebFetch, Bash cmd, security review, agent creation). Updated for each Claude Code version.",2026-05-21 19:37:08.74033+00
120,Claude Code SOCKS5 Null-Byte Sandbox Bypass — 130 Versions Vulnerable,agent_security,0,https://www.securityweek.com/anthropic-silently-patches-claude-code-sandbox-bypass/,,"SOCKS5 hostname null-byte injection in Claude Code network sandbox. JavaScript endsWith() approved connections that libc resolved differently due to null byte. Affected v2.0.24 through v2.1.89 (Oct 2025 – Apr 2026). Silent patch in v2.1.90, no CVE, no advisory. Attack chain: prompt injection in GitHub issue → malicious code in sandbox → null-byte bypass → exfiltrate AWS creds, GitHub tokens, env vars via raw SOCKS5.",2026-05-21 20:03:35.520301+00
121,IronCurtain — Secure Runtime with Plain-English Agent Constitutions,agent_security,449,https://github.com/provos/ironcurtain,,Secure runtime for autonomous AI agents. Defines security policy from plain-English constitutions instead of code. TypeScript-based. Enforces boundaries at the runtime layer — agents cant self-modify past their constitution.,2026-05-21 20:03:35.520301+00
122,Code-on-Incus — Isolated VMs per AI Agent with Active Defense,agent_security,521,https://github.com/mensfeld/code-on-incus,,"Gives each AI agent its own isolated machine with root, Docker, and systemd. Active defense detects and stops threats automatically. Built on Incus (LXC). Python-based.",2026-05-21 20:03:35.520301+00
123,GenAI App Security Checklist — 258 Checks + One-Command Scan,agent_security,0,https://github.com/a-leks/genai-app-security-checklist,,"Open-source checklist with 258 security checks for AI apps. Covers prompt injection, MCP tool poisoning, agent memory attacks, RAG isolation, and 250+ more. One-command codebase scan. Works with Claude, Gemini, and OpenAI CLIs.",2026-05-21 20:03:35.520301+00
124,Comment and Control — Credential Theft via Prompt Injection in Coding Agents,agent_security,0,https://oddguan.com/blog/comment-and-control-prompt-injection-credential-theft-claude-code-gemini-cli-github-copilot/,,"Research by Aonan Guan. Hidden instructions in code comments (GitHub issues, READMEs, docs) cause coding agents to exfiltrate credentials. Affects Claude Code, Gemini CLI, GitHub Copilot. Agent reads malicious comment → executes attacker-controlled code → credentials leaked.",2026-05-21 20:03:35.520301+00
125,OneCLI — Open-Source Credential Vault for AI Agents,agent_security,2228,https://github.com/onecli/onecli,,Open-source credential vault that gives AI agents access to services without exposing keys. TypeScript + Rust. Apache-2.0.,2026-05-21 20:37:21.417866+00
126,"IBM MCP Context Forge — AI Gateway for MCP, A2A, and REST",agent_infrastructure,3760,https://github.com/IBM/mcp-context-forge,https://github.com/IBM/mcp-context-forge,"AI Gateway, registry, and proxy that sits in front of any MCP, A2A, or REST/gRPC APIs. Unified endpoint with centralized discovery, guardrails, and management.",2026-05-21 20:37:21.417866+00
127,Infisical Agent Vault — HTTP Credential Proxy for AI Agents,agent_security,1263,https://github.com/Infisical/agent-vault,,"HTTP credential proxy and vault for AI agents like Claude Code, OpenClaw, Hermes. Go. Proxies credentials without exposing them to the model.",2026-05-21 20:37:21.417866+00
128,Greywall — Container-Free Kernel-Enforced Sandbox for AI Coding Agents,agent_security,190,https://github.com/GreyhavenHQ/greywall,,"Container-free, deny-by-default sandbox for AI coding agents. Kernel-enforced filesystem, network, and syscall isolation. v0.3.6 adds per-session filesystem grants (--allow-path/--allow-read-path), --watch observability mode. Linux (landlock+seccomp) + macOS. 3 releases in 48h.",2026-05-21 20:37:21.417866+00
129,Hazmat — macOS Containment for AI Agents with TLA+ Verification,agent_security,114,https://github.com/github.com/dredozubov/hazmat,,"macOS containment for AI agents: user isolation, kernel sandbox, pf firewall, DNS blocklist, backup/rollback. TLA+ verified.",2026-05-21 20:37:21.417866+00
130,Sandboxed.sh — Runtime for Autonomous On-Chain AI Agents,agent_security,432,https://github.com/Th0rgal/sandboxed.sh,,"Safe runtime for autonomous on-chain AI agents: isolated sandboxes, Library skills, encrypted secrets, OKX read-only security checks. Rust.",2026-05-21 20:37:21.417866+00
131,ThinkWatch — Enterprise AI Bastion Host for Secure API and MCP Access,agent_security,966,https://github.com/ThinkWatchProject/ThinkWatch,,"Rust-based enterprise bastion host for securing AI API and MCP access. Unified proxying, RBAC, audit logs, rate limiting, cost tracking across OpenAI, Anthropic, Gemini, self-hosted LLMs.",2026-05-21 21:03:44.833629+00
132,Kontext CLI — Runtime Security for Tool-Using AI Agents,agent_security,199,https://github.com/kontext-security/kontext-cli,,"Open-source runtime security layer for AI agents that use tools. Permissions, credential management, policy enforcement, audit trails. Go, MIT.",2026-05-21 21:03:45.907818+00
133,Bromure — Proper Sandboxing for Agentic Coding and Web Browsing,agent_security,260,https://github.com/rderaison/bromure,,Swift-based VM-level sandbox for agentic coding and web browsing. Proper containment for agents that need to touch your filesystem and browser.,2026-05-21 21:03:46.980385+00
134,MCP Server Security Audit — 17 Popular Servers Average 34/100,agent_security,,https://x.com/cdatasoftware/status/2057454865819832376,,"An audit of 17 popular MCP servers found an average security score of 34/100. Every server lacked permission declarations entirely. Architecture-level problem, not implementation bugs.",2026-05-21 21:04:24.148804+00
135,RAMPART — pytest-native security testing for agentic AI applications,agent_security,99,https://github.com/microsoft/RAMPART,,Microsoft open-sourced a pytest-native framework for testing AI agent safety and security. Write security tests as pytest cases. Includes Clarity for design-phase verification of agent behavior specs.,2026-05-21 21:37:17.93998+00
136,Preflight — SMT Solver Agent Guardrails (No LLM in Runtime Path),agent_security,1,https://github.com/ICME-Lab/icme-preflight-guardrail,,Automated reasoning guardrails for OpenClaw agents. Compiles your agent policy to SMT-LIB and uses a solver. SAT or UNSAT in under a second. No LLM in the enforcement path — just formal verification.,2026-05-21 21:37:19.013846+00
137,GoClaw — OpenClaw in Go with Multi-Tenant Isolation and 5-Layer Security,agent_infrastructure,3145,https://github.com/nextlevelbuilder/goclaw,,"Go rewrite of OpenClaw with multi-tenant isolation, 5-layer security model, and production-grade agent execution. Built for teams running multiple agents with different trust levels.",2026-05-21 21:37:20.091752+00
139,Google Agent Substrate — 30x Agent Multiplexing on Kubernetes,agent_infrastructure,128,https://github.com/agent-substrate/substrate,,"Google open-sourced Agent Substrate: maps many stateful agents onto fewer K8s pods using idle-time multiplexing. Sub-second suspend/resume, persistent RAM+filesystem state across hibernation. 128 stars in 8 days. Framework-agnostic, runs on any K8s cluster. Demo shows 250 agent sessions across 8 physical pods. Built on top of agent-sandbox (2,296 stars). Went GA on GKE May 21.",2026-05-21 22:04:30.725183+00
140,AI-buster — Reconnaissance Scanner for AI Agent Surface,agent_security,5,https://github.com/1ncendium/aibuster,,"Scopes base URLs, probes for A2A Agent Cards, MCP JSON-RPC, OpenAPI/Swagger, 23+ AI/ML services. Classifies by capability category (SQL, exec, file, network, secrets, orchestration). Docker-based with Material-3 web UI. Offensive security: find exposed agent surfaces before attackers.",2026-05-21 22:04:30.725183+00
141,AI Coding Agents Incidents — Structured Corpus of Real Security Failures,agent_security,5,https://github.com/paolodm/ai-coding-agents-incidents,,"Living dataset of security incidents caused/amplified by AI coding agents (Claude Code, Cursor, Codex). CSV + JSON with pre-commit sync. Useful for understanding attack patterns and building test cases.",2026-05-21 22:04:30.725183+00
142,Tank Agent OS — Fedora bootc for Sandboxed AI Coding Agents,agent_security,2,https://github.com/np6126/tank-agent-os,,"Fedora bootc image running AI coding agents (opencode/claw-code) as rootless Podman appliances. Egress proxy with audit logging, nftables isolation, prompt-injection-resistant instructions. Whole-stack containment — OS-enforced, not agent-cooperative.",2026-05-21 22:04:30.725183+00
143,"NVIDIA OpenShell — Safe Runtime for Autonomous AI Agents (6.1K★, Rust)",agent_security,6150,https://github.com/NVIDIA/OpenShell,,"OpenShell is NVIDIA's safe, private runtime for autonomous AI agents, written in Rust. v0.0.43 just dropped with DNS removed from sandboxes to block data exfiltration, OIDC auth, mTLS decoupled, and bidirectional TTY streaming. Red Hat collaborating. 6150 stars, Apache-2.0.",2026-05-21 22:34:17.959736+00
144,"Claw Chain — 4 Chainable CVEs in OpenClaw (CVSS 9.6 Sandbox Escape, 65K-180K Deployments)",agent_security,,https://x.com/cyera_io/status/2056444305045123514,,Cyera Research disclosed Claw Chain: 4 chainable vulnerabilities in OpenClaw (CVE-2026-44112 to -44118). Chain: sandbox write escape via symlink race (CVSS 9.6) → TOCTOU read escape to exfil credentials → owner-level privilege escalation → persistence via config tampering. Affects 65K-180K agent deployments. Patched in v2026.4.22.,2026-05-21 22:34:17.959736+00
